============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.19-s055_1
  Generated on:           Nov 29 2025  08:38:51 am
  Module:                 lagrange_interp
  Operating conditions:   WCCOM (balanced_tree)
  Wireload mode:          segmented
  Area mode:              timing library
============================================================


Path 1: MET (2506 ps) Setup Check with Pin denominator_reg[255]/clk->d
          Group: clk
     Startpoint: (F) x2[0]
          Clock: (R) clk
       Endpoint: (R) denominator_reg[255]/d
          Clock: (R) clk

                     Capture       Launch     
        Clock Edge:+   10000            0     
        Drv Adjust:+       0            0     
       Src Latency:+       0            0     
       Net Latency:+       0 (I)        0 (I) 
           Arrival:=   10000            0     
                                              
             Setup:-      78                  
       Uncertainty:-     200                  
     Required Time:=    9722                  
      Launch Clock:-       0                  
       Input Delay:-    1500                  
         Data Path:-    5716                  
             Slack:=    2506                  

Exceptions/Constraints:
  input_delay             1500            constraints.sdc_line_8_768_1 

#--------------------------------------------------------------------------------------------------------------------
#           Timing Point            Flags    Arc    Edge       Cell         Fanout Load Trans Delay Arrival Instance 
#                                                                                  (fF)  (ps)  (ps)   (ps)  Location 
#--------------------------------------------------------------------------------------------------------------------
  x2[0]                             (u)     -       F     (arrival)              8 18.4     0     0    1500    (-,-) 
  sub_denom_inst_sub_11_22/g20067/z (u)     in_0->z R     unmapped_complex4      2  5.0     0    41    3247    (-,-) 
  sub_denom_inst_sub_11_22/g20349/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    3296    (-,-) 
  sub_denom_inst_sub_11_22/g20354/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    3345    (-,-) 
  sub_denom_inst_sub_11_22/g18695/z (u)     in_1->z F     unmapped_nand2         2  4.6     0    27    3372    (-,-) 
  sub_denom_inst_sub_11_22/g18691/z (u)     in_0->z F     unmapped_complex2      1  2.3     0    23    3395    (-,-) 
  sub_denom_inst_sub_11_22/g20080/z (u)     in_0->z R     unmapped_complex4      2  5.0     0    41    3436    (-,-) 
  sub_denom_inst_sub_11_22/g20362/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    3485    (-,-) 
  sub_denom_inst_sub_11_22/g20365/z (u)     in_1->z R     unmapped_complex3      3  7.5     0    53    3538    (-,-) 
  sub_denom_inst_sub_11_22/g19958/z (u)     in_0->z F     unmapped_nand3         1  2.3     0    37    3575    (-,-) 
  sub_denom_inst_sub_11_22/g20084/z (u)     in_0->z R     unmapped_complex4      2  5.0     0    41    3616    (-,-) 
  sub_denom_inst_sub_11_22/g20373/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    3666    (-,-) 
  sub_denom_inst_sub_11_22/g20374/z (u)     in_1->z R     unmapped_complex3      3  7.5     0    53    3718    (-,-) 
  sub_denom_inst_sub_11_22/g19946/z (u)     in_0->z F     unmapped_nand3         2  4.6     0    41    3759    (-,-) 
  sub_denom_inst_sub_11_22/g20044/z (u)     in_0->z F     unmapped_complex3      1  2.3     0    37    3797    (-,-) 
  sub_denom_inst_sub_11_22/g20207/z (u)     in_0->z R     unmapped_nand3         3  7.5     0    44    3841    (-,-) 
  sub_denom_inst_sub_11_22/g19937/z (u)     in_0->z F     unmapped_nand3         1  2.3     0    37    3878    (-,-) 
  sub_denom_inst_sub_11_22/g20079/z (u)     in_0->z R     unmapped_complex4      2  5.0     0    41    3920    (-,-) 
  sub_denom_inst_sub_11_22/g20394/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    3969    (-,-) 
  sub_denom_inst_sub_11_22/g20396/z (u)     in_2->z R     unmapped_complex3      3  7.5     0    53    4022    (-,-) 
  sub_denom_inst_sub_11_22/g19935/z (u)     in_0->z F     unmapped_nand3         1  2.3     0    37    4059    (-,-) 
  sub_denom_inst_sub_11_22/g20066/z (u)     in_0->z R     unmapped_complex4      2  5.0     0    41    4100    (-,-) 
  sub_denom_inst_sub_11_22/g20401/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    4149    (-,-) 
  sub_denom_inst_sub_11_22/g20408/z (u)     in_1->z R     unmapped_complex3      3  7.5     0    53    4202    (-,-) 
  sub_denom_inst_sub_11_22/g20410/z (u)     in_1->z R     unmapped_complex4      1  2.5     0    60    4262    (-,-) 
  sub_denom_inst_sub_11_22/g20415/z (u)     in_3->z F     unmapped_complex4      1  2.3     0    68    4330    (-,-) 
  sub_denom_inst_sub_11_22/g18572/z (u)     in_1->z R     unmapped_nand2         4 10.0     0    32    4362    (-,-) 
  sub_denom_inst_sub_11_22/g18570/z (u)     in_1->z F     unmapped_nand2         2  4.6     0    27    4388    (-,-) 
  sub_denom_inst_sub_11_22/g20425/z (u)     in_1->z R     unmapped_complex3      2  5.0     0    49    4438    (-,-) 
  sub_denom_inst_sub_11_22/g20437/z (u)     in_2->z R     unmapped_complex3      1  2.5     0    45    4483    (-,-) 
  sub_denom_inst_sub_11_22/g20445/z (u)     in_0->z R     unmapped_xnor2         3  7.5     0    61    4544    (-,-) 
  sub_denom_inst_add_16_26/g11182/z (u)     in_0->z R     unmapped_or2           3  7.5     0    30    4574    (-,-) 
  sub_denom_inst_add_16_26/g11808/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4604    (-,-) 
  sub_denom_inst_add_16_26/g415/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4634    (-,-) 
  sub_denom_inst_add_16_26/g11803/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4664    (-,-) 
  sub_denom_inst_add_16_26/g11799/z (u)     in_0->z R     unmapped_or2           4 10.0     0    32    4696    (-,-) 
  sub_denom_inst_add_16_26/g403/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4726    (-,-) 
  sub_denom_inst_add_16_26/g11790/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4756    (-,-) 
  sub_denom_inst_add_16_26/g400/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4786    (-,-) 
  sub_denom_inst_add_16_26/g11774/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4815    (-,-) 
  sub_denom_inst_add_16_26/g11771/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4845    (-,-) 
  sub_denom_inst_add_16_26/g392/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4875    (-,-) 
  sub_denom_inst_add_16_26/g8593/z  (u)     in_0->z R     unmapped_or2           3  7.5     0    30    4905    (-,-) 
  sub_denom_inst_add_16_26/g11763/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4935    (-,-) 
  sub_denom_inst_add_16_26/g11180/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4965    (-,-) 
  sub_denom_inst_add_16_26/g385/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    4995    (-,-) 
  sub_denom_inst_add_16_26/g11754/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5025    (-,-) 
  sub_denom_inst_add_16_26/g11751/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5055    (-,-) 
  sub_denom_inst_add_16_26/g11748/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5084    (-,-) 
  sub_denom_inst_add_16_26/g376/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5114    (-,-) 
  sub_denom_inst_add_16_26/g11742/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5144    (-,-) 
  sub_denom_inst_add_16_26/g11739/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5174    (-,-) 
  sub_denom_inst_add_16_26/g11736/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5204    (-,-) 
  sub_denom_inst_add_16_26/g369/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5234    (-,-) 
  sub_denom_inst_add_16_26/g11730/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5264    (-,-) 
  sub_denom_inst_add_16_26/g11727/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5294    (-,-) 
  sub_denom_inst_add_16_26/g11724/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5324    (-,-) 
  sub_denom_inst_add_16_26/g352/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5354    (-,-) 
  sub_denom_inst_add_16_26/g355/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5384    (-,-) 
  sub_denom_inst_add_16_26/g11715/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5413    (-,-) 
  sub_denom_inst_add_16_26/g11179/z (u)     in_1->z R     unmapped_or2           4 10.0     0    32    5445    (-,-) 
  sub_denom_inst_add_16_26/g12425/z (u)     in_0->z R     unmapped_or4           3  7.5     0    64    5510    (-,-) 
  sub_denom_inst_add_16_26/g11705/z (u)     in_1->z R     unmapped_or2           5 12.5     0    34    5544    (-,-) 
  sub_denom_inst_add_16_26/g12447/z (u)     in_0->z R     unmapped_or4           3  7.5     0    64    5608    (-,-) 
  sub_denom_inst_add_16_26/g11688/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5638    (-,-) 
  sub_denom_inst_add_16_26/g11682/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5668    (-,-) 
  sub_denom_inst_add_16_26/g8609/z  (u)     in_0->z R     unmapped_or2           3  7.5     0    30    5698    (-,-) 
  sub_denom_inst_add_16_26/g323/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5728    (-,-) 
  sub_denom_inst_add_16_26/g11665/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5757    (-,-) 
  sub_denom_inst_add_16_26/g11174/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5787    (-,-) 
  sub_denom_inst_add_16_26/g8605/z  (u)     in_0->z R     unmapped_or2           3  7.5     0    30    5817    (-,-) 
  sub_denom_inst_add_16_26/g11173/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5847    (-,-) 
  sub_denom_inst_add_16_26/g11654/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5877    (-,-) 
  sub_denom_inst_add_16_26/g11651/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5907    (-,-) 
  sub_denom_inst_add_16_26/g308/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5937    (-,-) 
  sub_denom_inst_add_16_26/g11645/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5967    (-,-) 
  sub_denom_inst_add_16_26/g11642/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    5997    (-,-) 
  sub_denom_inst_add_16_26/g11639/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6026    (-,-) 
  sub_denom_inst_add_16_26/g295/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6056    (-,-) 
  sub_denom_inst_add_16_26/g296/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6086    (-,-) 
  sub_denom_inst_add_16_26/g299/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6116    (-,-) 
  sub_denom_inst_add_16_26/g11627/z (u)     in_1->z R     unmapped_or2           6 15.0     0    36    6153    (-,-) 
  sub_denom_inst_add_16_26/g12464/z (u)     in_0->z R     unmapped_or4           6 15.0     0    71    6224    (-,-) 
  sub_denom_inst_add_16_26/g12463/z (u)     in_0->z R     unmapped_or4           5 12.5     0    68    6292    (-,-) 
  sub_denom_inst_add_16_26/g12453/z (u)     in_0->z R     unmapped_or3           4 10.0     0    46    6338    (-,-) 
  sub_denom_inst_add_16_26/g866/z   (u)     in_1->z R     unmapped_or2           4 10.0     0    32    6370    (-,-) 
  sub_denom_inst_add_16_26/g11169/z (u)     in_1->z R     unmapped_or2           5 12.5     0    34    6404    (-,-) 
  sub_denom_inst_add_16_26/g12451/z (u)     in_0->z R     unmapped_or3           5 12.5     0    49    6453    (-,-) 
  sub_denom_inst_add_16_26/g12452/z (u)     in_0->z R     unmapped_or3           6 15.0     0    51    6504    (-,-) 
  sub_denom_inst_add_16_26/g11460/z (u)     in_1->z R     unmapped_or2           1  2.5     0    23    6526    (-,-) 
  sub_denom_inst_add_16_26/g12457/z (u)     in_0->z R     unmapped_or4           6 15.0     0    71    6597    (-,-) 
  sub_denom_inst_add_16_26/g12456/z (u)     in_0->z R     unmapped_or4           4 10.0     0    66    6663    (-,-) 
  sub_denom_inst_add_16_26/g704/z   (u)     in_1->z R     unmapped_or2           4 10.0     0    32    6695    (-,-) 
  sub_denom_inst_add_16_26/g11163/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6725    (-,-) 
  sub_denom_inst_add_16_26/g692/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6755    (-,-) 
  sub_denom_inst_add_16_26/g11303/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6785    (-,-) 
  sub_denom_inst_add_16_26/g11297/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6815    (-,-) 
  sub_denom_inst_add_16_26/g11160/z (u)     in_1->z R     unmapped_or2           4 10.0     0    32    6846    (-,-) 
  sub_denom_inst_add_16_26/g11286/z (u)     in_0->z R     unmapped_or2           5 12.5     0    34    6880    (-,-) 
  sub_denom_inst_add_16_26/g11274/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6910    (-,-) 
  sub_denom_inst_add_16_26/g11269/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6940    (-,-) 
  sub_denom_inst_add_16_26/g11257/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    6970    (-,-) 
  sub_denom_inst_add_16_26/g11248/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    7000    (-,-) 
  sub_denom_inst_add_16_26/g11151/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    7030    (-,-) 
  sub_denom_inst_add_16_26/g634/z   (u)     in_1->z R     unmapped_or2           3  7.5     0    30    7060    (-,-) 
  sub_denom_inst_add_16_26/g11230/z (u)     in_1->z R     unmapped_or2           3  7.5     0    30    7090    (-,-) 
  sub_denom_inst_add_16_26/g11150/z (u)     in_1->z R     unmapped_or2           2  5.0     0    27    7116    (-,-) 
  sub_denom_inst_add_16_26/g12717/z (u)     in_1->z R     unmapped_xnor2         1  2.5     0    54    7170    (-,-) 
  g22495/z                          (u)     in_2->z R     unmapped_complex3      1  2.5     0    45    7216    (-,-) 
  denominator_reg[255]/d            <<<     -       R     unmapped_d_flop        1    -     -     0    7216    (-,-) 
#--------------------------------------------------------------------------------------------------------------------

(u) : Net has unmapped pin(s).

